ftitle,fsubtitle,btitle,bsubtitle,audio
嗚呼,(ああ),"Ah!, Oh!, Alas!",,[sound:嗚呼.wav]
"Ah!, Oh!, Alas!",,嗚呼,(ああ),[sound:嗚呼.wav]
相,(あい),"together, mutually, fellow",,[sound:相.wav]
"together, mutually, fellow",,相,(あい),[sound:相.wav]
相変わらず,(あいかわらず),"as ever, as usual, the same",,[sound:相変わらず.wav]
"as ever, as usual, the same",,相変わらず,(あいかわらず),[sound:相変わらず.wav]
愛想,(あいそ),"civility, courtesy, compliments, sociability, graces",,[sound:愛想.wav]
"civility, courtesy, compliments, sociability, graces",,愛想,(あいそ),[sound:愛想.wav]
相対,(あいたい),"confrontation, facing, between ourselves, no third party, tete-a-tete",,[sound:相対.wav]
"confrontation, facing, between ourselves, no third party, tete-a-tete",,相対,(あいたい),[sound:相対.wav]
間柄,(あいだがら),relation(ship),,[sound:間柄.wav]
relation(ship),,間柄,(あいだがら),[sound:間柄.wav]
愛憎,(あいぞう),likes and dislikes,,[sound:愛憎.wav]
likes and dislikes,,愛憎,(あいぞう),[sound:愛憎.wav]
合間,(あいま),interval,,[sound:合間.wav]
interval,,合間,(あいま),[sound:合間.wav]
敢えて,(あえて),"dare (to do), challenge (to do)",,[sound:敢えて.wav]
"dare (to do), challenge (to do)",,敢えて,(あえて),[sound:敢えて.wav]
仰ぐ,(あおぐ),"to look up (to), to respect, to depend on, to ask for, to seek, to revere, to drink, to take",,[sound:仰ぐ.wav]
"to look up (to), to respect, to depend on, to ask for, to seek, to revere, to drink, to take",,仰ぐ,(あおぐ),[sound:仰ぐ.wav]
垢,(あか),"dirt, filth",,[sound:垢.wav]
"dirt, filth",,垢,(あか),[sound:垢.wav]
亜科,(あか),"suborder, subfamily",,[sound:亜科.wav]
"suborder, subfamily",,亜科,(あか),[sound:亜科.wav]
銅,(あかがね),copper,,[sound:銅.wav]
copper,,銅,(あかがね),[sound:銅.wav]
証,(あかし),"proof, evidence",,[sound:証.wav]
"proof, evidence",,証,(あかし),[sound:証.wav]
赤字,(あかじ),"deficit, go in the red",,[sound:赤字.wav]
"deficit, go in the red",,赤字,(あかじ),[sound:赤字.wav]
明かす,(あかす),"to pass, spend, to reveal, to divulge",,[sound:明かす.wav]
"to pass, spend, to reveal, to divulge",,明かす,(あかす),[sound:明かす.wav]
赤ちゃん,(あかちゃん),"baby, infant",,[sound:赤ちゃん.wav]
"baby, infant",,赤ちゃん,(あかちゃん),[sound:赤ちゃん.wav]
明白,(あからさま),"obvious, overt, plainly, frankly",,[sound:明白.wav]
"obvious, overt, plainly, frankly",,明白,(あからさま),[sound:明白.wav]
赤らむ,(あからむ),"to become red, to redden, to blush",,[sound:赤らむ.wav]
"to become red, to redden, to blush",,赤らむ,(あからむ),[sound:赤らむ.wav]
明るい,(あかるい),"bright, cheerful",,[sound:明るい.wav]
"bright, cheerful",,明るい,(あかるい),[sound:明るい.wav]
上がり,(あがり),"1. slope, advance income, crop yield, ascent, rise, advance, death, spinning, completion, stop, finish, after",,[sound:上がり.wav]
"1. slope, advance income, crop yield, ascent, rise, advance, death, spinning, completion, stop, finish, after",,上がり,(あがり),[sound:上がり.wav]
上がる,(あがる),"to enter, to go up, to rise, to climb up, to advance, to appreciate, to be promoted, to improve, to call on,",,[sound:上がる.wav]
"to enter, to go up, to rise, to climb up, to advance, to appreciate, to be promoted, to improve, to call on,",,上がる,(あがる),[sound:上がる.wav]
商人,(あきうど),"trader, shopkeeper, merchant",,[sound:商人.wav]
"trader, shopkeeper, merchant",,商人,(あきうど),[sound:商人.wav]
空間,(あきま),"vacancy, room for rent or lease",,[sound:空間.wav]
"vacancy, room for rent or lease",,空間,(あきま),[sound:空間.wav]
諦め,(あきらめ),"resignation, acceptance, consolation",,[sound:諦め.wav]
"resignation, acceptance, consolation",,諦め,(あきらめ),[sound:諦め.wav]
呆れる,(あきれる),"to be amazed, to be shocked",,[sound:呆れる.wav]
"to be amazed, to be shocked",,呆れる,(あきれる),[sound:呆れる.wav]
悪,(あく),"evil, wickedness",,[sound:悪.wav]
"evil, wickedness",,悪,(あく),[sound:悪.wav]
灰汁,(あく),puckery juice,,[sound:灰汁.wav]
puckery juice,,灰汁,(あく),[sound:灰汁.wav]
悪どい,(あくどい),"1. gaudy, showy, excessive, 2. vicious",,[sound:悪どい.wav]
"1. gaudy, showy, excessive, 2. vicious",,悪どい,(あくどい),[sound:悪どい.wav]
悪日,(あくび),unlucky day,,[sound:悪日.wav]
unlucky day,,悪日,(あくび),[sound:悪日.wav]
明くる,(あくる),"next, following",,[sound:明くる.wav]
"next, following",,明くる,(あくる),[sound:明くる.wav]
憧れ,(あこがれ),"yearning, longing, aspiration",,[sound:憧れ.wav]
"yearning, longing, aspiration",,憧れ,(あこがれ),[sound:憧れ.wav]
顎,(あご),chin,,[sound:顎.wav]
chin,,顎,(あご),[sound:顎.wav]
麻,(あさ),"flax, linen, hemp",,[sound:麻.wav]
"flax, linen, hemp",,麻,(あさ),[sound:麻.wav]
明後日,(あさって),day after tomorrow,,[sound:明後日.wav]
day after tomorrow,,明後日,(あさって),[sound:明後日.wav]
朝寝坊,(あさねぼう),"oversleeping, late riser",,[sound:朝寝坊.wav]
"oversleeping, late riser",,朝寝坊,(あさねぼう),[sound:朝寝坊.wav]
浅ましい,(あさましい),"wretched, miserable, shameful, mean, despicable, abject",,[sound:浅ましい.wav]
"wretched, miserable, shameful, mean, despicable, abject",,浅ましい,(あさましい),[sound:浅ましい.wav]
字,(あざ),section of village,,[sound:字.wav]
section of village,,字,(あざ),[sound:字.wav]
欺く,(あざむく),to deceive,,[sound:欺く.wav]
to deceive,,欺く,(あざむく),[sound:欺く.wav]
鮮やか,(あざやか),"vivid, clear, brilliant",,[sound:鮮やか.wav]
"vivid, clear, brilliant",,鮮やか,(あざやか),[sound:鮮やか.wav]
あざ笑う,(あざわらう),"to sneer at, to ridicule",,[sound:あざ笑う.wav]
"to sneer at, to ridicule",,あざ笑う,(あざわらう),[sound:あざ笑う.wav]
味わい,(あじわい),"flavour, meaning, significance",,[sound:味わい.wav]
"flavour, meaning, significance",,味わい,(あじわい),[sound:味わい.wav]
東,(あずま),"east, Eastern Japan",,[sound:東.wav]
"east, Eastern Japan",,東,(あずま),[sound:東.wav]
焦る,(あせる),"to be in a hurry, to be impatient",,[sound:焦る.wav]
"to be in a hurry, to be impatient",,焦る,(あせる),[sound:焦る.wav]
彼処,(あそこ),"1. (uk) there, over there, that place, 2. (X) (col) genitals",,[sound:彼処.wav]
"1. (uk) there, over there, that place, 2. (X) (col) genitals",,彼処,(あそこ),[sound:彼処.wav]
値,(あたい),"value, price, cost, worth, merit",,[sound:値.wav]
"value, price, cost, worth, merit",,値,(あたい),[sound:値.wav]
値する,(あたいする),"to be worth, to deserve, to merit",,[sound:値する.wav]
"to be worth, to deserve, to merit",,値する,(あたいする),[sound:値する.wav]
私,(あたし),I (fem),,[sound:私.wav]
I (fem),,私,(あたし),[sound:私.wav]
当たり,(あたり),"hit, success, reaching the mark, per ..., vicinity, neighborhood",,[sound:当たり.wav]
"hit, success, reaching the mark, per ..., vicinity, neighborhood",,当たり,(あたり),[sound:当たり.wav]
当たり前,(あたりまえ),"usual, common, ordinary, natural, reasonable, obvious",,[sound:当たり前.wav]
"usual, common, ordinary, natural, reasonable, obvious",,当たり前,(あたりまえ),[sound:当たり前.wav]
他人,(あだびと),"another person, unrelated person, outsider, stranger",,[sound:他人.wav]
"another person, unrelated person, outsider, stranger",,他人,(あだびと),[sound:他人.wav]
彼方此方,(あちこち),here and there,,[sound:彼方此方.wav]
here and there,,彼方此方,(あちこち),[sound:彼方此方.wav]
彼方,(あちら),"1. there, yonder, that",,[sound:彼方.wav]
"1. there, yonder, that",,彼方,(あちら),[sound:彼方.wav]
彼方此方,(あちらこちら),here and there,,[sound:彼方此方.wav]
here and there,,彼方此方,(あちらこちら),[sound:彼方此方.wav]
悪化,(あっか),"deterioration, growing worse, aggravation, degeneration, corruption",,[sound:悪化.wav]
"deterioration, growing worse, aggravation, degeneration, corruption",,悪化,(あっか),[sound:悪化.wav]
呆気ない,(あっけない),"not enough, too quick (short long etc.)",,[sound:呆気ない.wav]
"not enough, too quick (short long etc.)",,呆気ない,(あっけない),[sound:呆気ない.wav]
悪口,(あっこう),"abuse, insult, slander, evil speaking",,[sound:悪口.wav]
"abuse, insult, slander, evil speaking",,悪口,(あっこう),[sound:悪口.wav]
あっさり,,"easily, readily, quickly",,[sound:あっさり.wav]
"easily, readily, quickly",,あっさり,,[sound:あっさり.wav]
圧迫,(あっぱく),"pressure, coercion, oppression",,[sound:圧迫.wav]
"pressure, coercion, oppression",,圧迫,(あっぱく),[sound:圧迫.wav]
扱い,(あつかい),"treatment, service",,[sound:扱い.wav]
"treatment, service",,扱い,(あつかい),[sound:扱い.wav]
集まる,(あつまる),"to gather, to collect, to assemble",,[sound:集まる.wav]
"to gather, to collect, to assemble",,集まる,(あつまる),[sound:集まる.wav]
誂える,(あつらえる),"to give an order, to place an order",,[sound:誂える.wav]
"to give an order, to place an order",,誂える,(あつらえる),[sound:誂える.wav]
圧力,(あつりょく),"stress, pressure",,[sound:圧力.wav]
"stress, pressure",,圧力,(あつりょく),[sound:圧力.wav]
当て,(あて),"object, aim, end, hopes, expectations",,[sound:当て.wav]
"object, aim, end, hopes, expectations",,当て,(あて),[sound:当て.wav]
宛,(あて),addressed to,,[sound:宛.wav]
addressed to,,宛,(あて),[sound:宛.wav]
当て字,(あてじ),"phonetic-equivalent character, substitute character",,[sound:当て字.wav]
"phonetic-equivalent character, substitute character",,当て字,(あてじ),[sound:当て字.wav]
当てはまる,(あてはまる),to apply (a rule),,[sound:当てはまる.wav]
to apply (a rule),,当てはまる,(あてはまる),[sound:当てはまる.wav]
当てはめる,(あてはめる),"to apply, to adapt",,[sound:当てはめる.wav]
"to apply, to adapt",,当てはめる,(あてはめる),[sound:当てはめる.wav]
宛てる,(あてる),to address,,[sound:宛てる.wav]
to address,,宛てる,(あてる),[sound:宛てる.wav]
跡継ぎ,(あとつぎ),"heir, successor",,[sound:跡継ぎ.wav]
"heir, successor",,跡継ぎ,(あとつぎ),[sound:跡継ぎ.wav]
後回し,(あとまわし),"putting off, postponing",,[sound:後回し.wav]
"putting off, postponing",,後回し,(あとまわし),[sound:後回し.wav]
貴女,(あなた),"you, lady",,[sound:貴女.wav]
"you, lady",,貴女,(あなた),[sound:貴女.wav]
彼の,(あの),that over there,,[sound:彼の.wav]
that over there,,彼の,(あの),[sound:彼の.wav]
溢れる,(あふれる),"to flood, to overflow, to brim over",,[sound:溢れる.wav]
"to flood, to overflow, to brim over",,溢れる,(あふれる),[sound:溢れる.wav]
油絵,(あぶらえ),oil painting,,[sound:油絵.wav]
oil painting,,油絵,(あぶらえ),[sound:油絵.wav]
炙る,(あぶる),to scorch,,[sound:炙る.wav]
to scorch,,炙る,(あぶる),[sound:炙る.wav]
あべこべ,,"contrary, opposite, inverse",,[sound:あべこべ.wav]
"contrary, opposite, inverse",,あべこべ,,[sound:あべこべ.wav]
甘える,(あまえる),"to behave like a spoiled child, to fawn on",,[sound:甘える.wav]
"to behave like a spoiled child, to fawn on",,甘える,(あまえる),[sound:甘える.wav]
甘口,(あまくち),"sweet flavour, mildness, flattery, stupidity",,[sound:甘口.wav]
"sweet flavour, mildness, flattery, stupidity",,甘口,(あまくち),[sound:甘口.wav]
雨具,(あまぐ),rain gear,,[sound:雨具.wav]
rain gear,,雨具,(あまぐ),[sound:雨具.wav]
天津,(あまつ),"heavenly, imperial",,[sound:天津.wav]
"heavenly, imperial",,天津,(あまつ),[sound:天津.wav]
網,(あみ),"net, network",,[sound:網.wav]
"net, network",,網,(あみ),[sound:網.wav]
天地,(あめつち),"heaven and earth, the universe, nature, top and bottom, realm, sphere, world",,[sound:天地.wav]
"heaven and earth, the universe, nature, top and bottom, realm, sphere, world",,天地,(あめつち),[sound:天地.wav]
操る,(あやつる),"to manipulate, to operate, to pull strings",,[sound:操る.wav]
"to manipulate, to operate, to pull strings",,操る,(あやつる),[sound:操る.wav]
あやふや,,"uncertain, vague, ambiguous",,[sound:あやふや.wav]
"uncertain, vague, ambiguous",,あやふや,,[sound:あやふや.wav]
危ぶむ,(あやぶむ),"to fear, to have misgivings, to be doubtful, to mistrust",,[sound:危ぶむ.wav]
"to fear, to have misgivings, to be doubtful, to mistrust",,危ぶむ,(あやぶむ),[sound:危ぶむ.wav]
過ち,(あやまち),"fault, error, indiscretion",,[sound:過ち.wav]
"fault, error, indiscretion",,過ち,(あやまち),[sound:過ち.wav]
誤る,(あやまる),to make a mistake,,[sound:誤る.wav]
to make a mistake,,誤る,(あやまる),[sound:誤る.wav]
歩み,(あゆみ),walking,,[sound:歩み.wav]
walking,,歩み,(あゆみ),[sound:歩み.wav]
歩む,(あゆむ),"to walk, to go on foot",,[sound:歩む.wav]
"to walk, to go on foot",,歩む,(あゆむ),[sound:歩む.wav]
あら,,"oh, ah, saw-edged perch (Niphon spinosus)",,[sound:あら.wav]
"oh, ah, saw-edged perch (Niphon spinosus)",,あら,,[sound:あら.wav]
予め,(あらかじめ),"beforehand, in advance, previously",,[sound:予め.wav]
"beforehand, in advance, previously",,予め,(あらかじめ),[sound:予め.wav]
荒らす,(あらす),"to lay waste, to devastate, to damage, to invade, to break into",,[sound:荒らす.wav]
"to lay waste, to devastate, to damage, to invade, to break into",,荒らす,(あらす),[sound:荒らす.wav]
粗筋,(あらすじ),"outline, summary",,[sound:粗筋.wav]
"outline, summary",,粗筋,(あらすじ),[sound:粗筋.wav]
争い,(あらそい),"dispute, strife, quarrel, dissension, conflict, rivalry, contest",,[sound:争い.wav]
"dispute, strife, quarrel, dissension, conflict, rivalry, contest",,争い,(あらそい),[sound:争い.wav]
改まる,(あらたまる),to be renewed,,[sound:改まる.wav]
to be renewed,,改まる,(あらたまる),[sound:改まる.wav]
荒っぽい,(あらっぽい),"rough, rude",,[sound:荒っぽい.wav]
"rough, rude",,荒っぽい,(あらっぽい),[sound:荒っぽい.wav]
凡ゆる,(あらゆる),"all, every",,[sound:凡ゆる.wav]
"all, every",,凡ゆる,(あらゆる),[sound:凡ゆる.wav]
霰,(あられ),"kind of cookie, cartoon character",,[sound:霰.wav]
"kind of cookie, cartoon character",,霰,(あられ),[sound:霰.wav]
現われ,(あらわれ),"embodiment, materialization",,[sound:現われ.wav]
"embodiment, materialization",,現われ,(あらわれ),[sound:現われ.wav]
現われる,(あらわれる),"to appear, to come in sight, to become visible, to come out, to embody, to materialize, to express oneself",,[sound:現われる.wav]
"to appear, to come in sight, to become visible, to come out, to embody, to materialize, to express oneself",,現われる,(あらわれる),[sound:現われる.wav]
有難う,(ありがとう),Thank you,,[sound:有難う.wav]
Thank you,,有難う,(ありがとう),[sound:有難う.wav]
有様,(ありさま),"state, condition, circumstances, the way things are or should be, truth",,[sound:有様.wav]
"state, condition, circumstances, the way things are or should be, truth",,有様,(ありさま),[sound:有様.wav]
有りのまま,(ありのまま),"the truth, fact, as it is, frankly",,[sound:有りのまま.wav]
"the truth, fact, as it is, frankly",,有りのまま,(ありのまま),[sound:有りのまま.wav]
或る,(ある),"a certain..., some...",,[sound:或る.wav]
"a certain..., some...",,或る,(ある),[sound:或る.wav]
或いは,(あるいは),"or, possibly",,[sound:或いは.wav]
"or, possibly",,或いは,(あるいは),[sound:或いは.wav]
彼此,(あれこれ),"one thing or another, this and that, this or that",,[sound:彼此.wav]
"one thing or another, this and that, this or that",,彼此,(あれこれ),[sound:彼此.wav]
合わす,(あわす),"to join together, to face, to unite, to be opposite, to combine, to connect, to add up, to mix, to match, to",,[sound:合わす.wav]
"to join together, to face, to unite, to be opposite, to combine, to connect, to add up, to mix, to match, to",,合わす,(あわす),[sound:合わす.wav]
合わせ,(あわせ),"joint together, opposite, facing",,[sound:合わせ.wav]
"joint together, opposite, facing",,合わせ,(あわせ),[sound:合わせ.wav]
慌ただしい,(あわただしい),"busy, hurried, confused, flurried",,[sound:慌ただしい.wav]
"busy, hurried, confused, flurried",,慌ただしい,(あわただしい),[sound:慌ただしい.wav]
慌てる,(あわてる),to become confused (disconcerted disorganized),,[sound:慌てる.wav]
to become confused (disconcerted disorganized),,慌てる,(あわてる),[sound:慌てる.wav]
暗殺,(あんさつ),assassination,,[sound:暗殺.wav]
assassination,,暗殺,(あんさつ),[sound:暗殺.wav]
暗算,(あんざん),mental arithmetic,,[sound:暗算.wav]
mental arithmetic,,暗算,(あんざん),[sound:暗算.wav]
暗示,(あんじ),"hint, suggestion",,[sound:暗示.wav]
"hint, suggestion",,暗示,(あんじ),[sound:暗示.wav]
案じる,(あんじる),"to be anxious, to ponder",,[sound:案じる.wav]
"to be anxious, to ponder",,案じる,(あんじる),[sound:案じる.wav]
安静,(あんせい),rest,,[sound:安静.wav]
