ftitle,fsubtitle,btitle,bsubtitle,audio
あっ,,"Ah!,Oh!",,[sound:あっ.wav]
"Ah!,Oh!",,あっ,,[sound:あっ.wav]
愛,(あい),love,,[sound:愛.wav]
love,,愛,(あい),[sound:愛.wav]
挨拶,(あいさつ),"greeting,salutation",,[sound:挨拶.wav]
"greeting,salutation",,挨拶,(あいさつ),[sound:挨拶.wav]
愛情,(あいじょう),"love,affection",,[sound:愛情.wav]
"love,affection",,愛情,(あいじょう),[sound:愛情.wav]
合図,(あいず),"sign,signal",,[sound:合図.wav]
"sign,signal",,合図,(あいず),[sound:合図.wav]
アイスクリーム,,ice cream,,[sound:アイスクリーム.wav]
ice cream,,アイスクリーム,,[sound:アイスクリーム.wav]
愛する,(あいする),to love,,[sound:愛する.wav]
to love,,愛する,(あいする),[sound:愛する.wav]
相手,(あいて),"companion,partner,company",,[sound:相手.wav]
"companion,partner,company",,相手,(あいて),[sound:相手.wav]
あいにく,,"unfortunately,Sorry, but....",,[sound:あいにく.wav]
"unfortunately,Sorry, but....",,あいにく,,[sound:あいにく.wav]
アイロン,,(electric) iron,,[sound:アイロン.wav]
(electric) iron,,アイロン,,[sound:アイロン.wav]
アウト,,out,,[sound:アウト.wav]
out,,アウト,,[sound:アウト.wav]
明かり,(あかり),"lamplight,light (in general),brightness",,[sound:明かり.wav]
"lamplight,light (in general),brightness",,明かり,(あかり),[sound:明かり.wav]
空き,(あき),"room,time to spare,emptiness",,[sound:空き.wav]
"room,time to spare,emptiness",,空き,(あき),[sound:空き.wav]
明らか,(あきらか),"obvious,evident,clear",,[sound:明らか.wav]
"obvious,evident,clear",,明らか,(あきらか),[sound:明らか.wav]
諦める,(あきらめる),"to give up,to abandon",,[sound:諦める.wav]
"to give up,to abandon",,諦める,(あきらめる),[sound:諦める.wav]
飽きる,(あきる),"to get tired of,to lose interest in,to have enough",,[sound:飽きる.wav]
"to get tired of,to lose interest in,to have enough",,飽きる,(あきる),[sound:飽きる.wav]
握手,(あくしゅ),handshake,,[sound:握手.wav]
handshake,,握手,(あくしゅ),[sound:握手.wav]
悪魔,(あくま),"devil,demon,evil spirit",,[sound:悪魔.wav]
"devil,demon,evil spirit",,悪魔,(あくま),[sound:悪魔.wav]
明ける,(あける),"to dawn,to become daylight",,[sound:明ける.wav]
"to dawn,to become daylight",,明ける,(あける),[sound:明ける.wav]
預ける,(あずける),"to give into custody,to entrust,to deposit",,[sound:預ける.wav]
"to give into custody,to entrust,to deposit",,預ける,(あずける),[sound:預ける.wav]
汗,(あせ),"sweat,perspiration",,[sound:汗.wav]
"sweat,perspiration",,汗,(あせ),[sound:汗.wav]
与える,(あたえる),"to give,to present,to award",,[sound:与える.wav]
"to give,to present,to award",,与える,(あたえる),[sound:与える.wav]
辺り,(あたり),"vicinity,nearby",,[sound:辺り.wav]
"vicinity,nearby",,辺り,(あたり),[sound:辺り.wav]
当たる,(あたる),"to be hit,to be successful,to be equivalent to",,[sound:当たる.wav]
"to be hit,to be successful,to be equivalent to",,当たる,(あたる),[sound:当たる.wav]
あちこち,,here and there,,[sound:あちこち.wav]
here and there,,あちこち,,[sound:あちこち.wav]
扱う,(あつかう),"to handle,to deal with,to treat",,[sound:扱う.wav]
"to handle,to deal with,to treat",,扱う,(あつかう),[sound:扱う.wav]
集まり,(あつまり),"gathering,meeting,assembly,collection",,[sound:集まり.wav]
"gathering,meeting,assembly,collection",,集まり,(あつまり),[sound:集まり.wav]
当てる,(あてる),"to hit,to apply a patch",,[sound:当てる.wav]
"to hit,to apply a patch",,当てる,(あてる),[sound:当てる.wav]
跡,(あと),"(1) trace,tracks,mark,sign,(2) remains,ruins,(3) scar",,[sound:跡.wav]
"(1) trace,tracks,mark,sign,(2) remains,ruins,(3) scar",,跡,(あと),[sound:跡.wav]
穴,(あな),hole,,[sound:穴.wav]
hole,,穴,(あな),[sound:穴.wav]
浴びる,(あびる),"to bathe,to bask in the sun,to shower",,[sound:浴びる.wav]
"to bathe,to bask in the sun,to shower",,浴びる,(あびる),[sound:浴びる.wav]
油,(あぶら),oil,,[sound:油.wav]
oil,,油,(あぶら),[sound:油.wav]
余り,(あまり),"not very (used as adverb),not much",,[sound:余り.wav]
"not very (used as adverb),not much",,余り,(あまり),[sound:余り.wav]
誤り,(あやまり),error,,[sound:誤り.wav]
error,,誤り,(あやまり),[sound:誤り.wav]
粗,(あら),"defect,flaw,blemish,weak point",,[sound:粗.wav]
"defect,flaw,blemish,weak point",,粗,(あら),[sound:粗.wav]
嵐,(あらし),"storm,tempest",,[sound:嵐.wav]
"storm,tempest",,嵐,(あらし),[sound:嵐.wav]
新た,(あらた),"new,fresh,novel",,[sound:新た.wav]
"new,fresh,novel",,新た,(あらた),[sound:新た.wav]
あらゆる,,"all,every",,[sound:あらゆる.wav]
"all,every",,あらゆる,,[sound:あらゆる.wav]
表す,(あらわす),"to express,to show,to reveal",,[sound:表す.wav]
"to express,to show,to reveal",,表す,(あらわす),[sound:表す.wav]
現す,(あらわす),"to show,to indicate,to display",,[sound:現す.wav]
"to show,to indicate,to display",,現す,(あらわす),[sound:現す.wav]
現れ,(あらわれ),"embodiment,materialization",,[sound:現れ.wav]
"embodiment,materialization",,現れ,(あらわれ),[sound:現れ.wav]
現れる,(あらわれる),"(1) to appear,to come in sight,to become visible,(2) to express oneself",,[sound:現れる.wav]
"(1) to appear,to come in sight,to become visible,(2) to express oneself",,現れる,(あらわれる),[sound:現れる.wav]
ありがとう,,"(conj,exp,int) Thank you",,[sound:ありがとう.wav]
"(conj,exp,int) Thank you",,ありがとう,,[sound:ありがとう.wav]
或,(ある),"a certain...,some...",,[sound:或.wav]
"a certain...,some...",,或,(ある),[sound:或.wav]
あるいは,,"or,possibly",,[sound:あるいは.wav]
"or,possibly",,あるいは,,[sound:あるいは.wav]
アルバム,,album,,[sound:アルバム.wav]
album,,アルバム,,[sound:アルバム.wav]
泡,(あわ),"bubble,foam,froth,head on beer",,[sound:泡.wav]
"bubble,foam,froth,head on beer",,泡,(あわ),[sound:泡.wav]
合わせる,(あわせる),"to join together,to be opposite,to face,to unite",,[sound:合わせる.wav]
"to join together,to be opposite,to face,to unite",,合わせる,(あわせる),[sound:合わせる.wav]
哀れ,(あわれ),"helpless,pity,sorrow,grief",,[sound:哀れ.wav]
"helpless,pity,sorrow,grief",,哀れ,(あわれ),[sound:哀れ.wav]
案,(あん),"plan,suffix meaning draft",,[sound:案.wav]
"plan,suffix meaning draft",,案,(あん),[sound:案.wav]
暗記,(あんき),"memorization,learning by heart",,[sound:暗記.wav]
